site_unique,site_location_name,established_date,description,bioregion_name,landform_pattern,landform_element,site_slope,site_aspect,comments,outcrop_lithology,other_outcrop_lithology,plot_dimensions,site_location_visit_id,visit_start_date,visit_end_date,visit_notes,location_description,erosion_type,erosion_abundance,erosion_state,microrelief,drainage_type,disturbance,climatic_condition,vegetation_condition,observer_veg,observer_soil,described_by,pit_marker_easting,pit_marker_northing,pit_marker_mga_zones,pit_marker_datum,pit_marker_location_method,soil_observation_type,a_s_c,plot_is_100m_by_100m,plot_is_aligned_to_grid,plot_is_permanently_marked,latitude,longitude,point,state,visit_date,visit_number
NSABHC0005-53600,NSABHC0005,2012-07-30T00:00:00,As previous,BHC,NC,PLA,,,"-------------- new visit physicalStatusComments start --------------
Landform element and pattern is a plain on a plain. Some gilgai features. No outcrop. Some small quartzite gravel (20-30mm diameter). Slight (1 degree) slope from NW to SE.

Introduced species impact is moderate. Ward’s weed is extensive across the site and there are potentially some invasive Sonchus spp. present.
Grazing impact is minimal. E. maculata and some grasses grazed, likely by goats or kangaroos. No evidence of fire. Nearest infrastructure is the Barrier highway 150m from SW corner. Homogenous. Community extends 100m to the west and north from the centre.
-------------- new visit physicalStatusComments end ---------------
Low impact of introduced plant species- Carrichtera annua and Eragrostis curvula low cover.",NC,NC,,53600,2012-07-30T00:00:00,2012-07-30T00:00:00,, Astrebla pectinata/ Enneapogon avenaceus low open tussock grassland.,NC,NC,NC,NC,7,NC,,,22,7,7,588986,6476364,54,WGS84,GPS,P,,TRUE,FALSE,TRUE,-31.8449577777778,141.940497777778,SW,NSW,2012-07-30,1
NSABHC0006-53601,NSABHC0006,2012-08-01T00:00:00,"6.7k east of K-Tank Station, 31.7km north east of Broken Hill.",BHC,PLA,PLA,,,"-------------- new visit physicalStatusComments start --------------
The site is a low chenapod shrubland dominated by Sclerolaena longicuspis, Sclerolaena divaricate, Maireana astrotricha and Wards weed. The rest of the site is made up of other Sclerolaena species, Atriplex vesicaria, tussock grasses and other forbs. The average height for the Maireana astrotricha is between 30-60cm tall, the Sclerolaena species average between 15-30cm and the forb layer averages 10cm.
There has been recent rain in the last week, at least 60mm approximately 5 days ago. Many of the gilgai’s are still damp. The Maireana astrotricha and Atriplex vesicaria have a small amount of fruit, all the Sclerolaena’s have seed and many of the forbs such as the Wards weed, Abutilon, Lotus and goodenia are all flowering.
The landform element and pattern is a hillslope on a rise, the slope is approximately 4% sloping down to a dam to the S-SW of the site. There is lots of gibber across the site, mostly smaller gravel but also a few rocks to 12-15cm.
In terms of introduced species, there is a significant amount of wards weed in the site and was collected as a dominant species. Grazing is low with a fence close by to stop cattle, with evidence of kangaroo. Possible history of previous grazing due to the size of the dam. There is no evidence of recent fire. The nearest infrastructure the Barrier highway 100m to the North, but also many fence lines around the site. The dam is approximately 1km to the South. The site is homogenous but doesn’t extend to the North due to the rise, but extends 150m to the South, East and West.
-------------- new visit physicalStatusComments end ---------------
Minimal impact of introduce species; some Carrichtera annua, Eragrostis curvula, Sonchus oleraceus and Malvastrum americanum present.",NC,NC,,53601,2012-08-01T00:00:00,2012-08-01T00:00:00,,Enneapogon avenaceus low open tussock grassland to Sclerolaena sp. sparse Chenopod shrubland.,NC,NC,NC,NC,7,NC,,,22,7,7,573987,6472132,54,WGS84,GPS,P,,TRUE,FALSE,TRUE,-31.8842083333333,141.782308888889,SW,NSW,2012-08-01,1
NSABHC0007-53602,NSABHC0007,2012-08-02T00:00:00,"K- Tank Station ?, 5.2km south east of homestead. 29km north east of Broken Hill. 1.5km south of Barrier Highway.",BHC,NC,NC,,,Minimal impact of introduced plant species - high number of species at low cover.,NC,NC,,53602,2012-08-02T00:00:00,2012-08-02T00:00:00,,Atriplex vesicaria/ Maireana Astrotricha low sparse Chenopod shrubland to Enneapogon avenaceus low sparse tussock grassland.,NC,NC,NC,NC,7,NC,,,22,7,7,572283,6470268,54,WGS84,GPS,P,,TRUE,FALSE,TRUE,-31.9011336111111,141.764431944444,SW,NSW,2012-08-02,1
NSABHC0008-53603,NSABHC0008,2012-08-31T00:00:00,Broken Hill Common? 10km north east of Broken Hill. 1.85km east of Silver City Highway,BHC,NC,SAP,,,Small drainage intercepts northern border at 45m mark and leaves western border at 60m mark. Minimal impact of introduced plant species - high number of species but low cover.,NC,NC,,53603,2012-08-31T00:00:00,2012-08-31T00:00:00,,"Maireana pyramidata, Atriplex vesicaria, Rhagodia spinescens low sparse Chenopod shrubland.",NC,NC,NC,NC,7,NC,,,22,7,7,550011,6472087,54,WGS84,GPS,P,,TRUE,FALSE,TRUE,-31.8859216666667,141.52881,SW,NSW,2012-08-31,1
NSABHC0009-53604,NSABHC0009,2012-09-03T00:00:00,enclosure fowler ,BHC,RIS,RES,,,"-------------- new visit physicalStatusComments start --------------
No outcrop present. Quartz surface strew present. Introduced plant impact is low, Lepidium sp. present. Current grazing impact is minimal, historically grazed until exclusion fence erected 60-70s??. Site is long unburnt, no evidence of past fire. Nearest infrastructure is the exclusion fence 20 east of NE corner. Site is homogenous, community extends 110m north, 70m east, 50m south and west where a change occurs.
-------------- new visit physicalStatusComments end ---------------
Low to moderate impact of introduced plant species; Sonchus oleraceus low cover.",NC,NC,,53604,2012-09-03T00:00:00,2012-09-03T00:00:00,,Atriplex vesicaria / Enneapogon avenaceus mixed low sparse Chenopod shrubland to low sparse tussock grassland.,R,1,S,Z,4,0,,,22,7,7,566520,6561297,54,WGS84,GPS,P,,TRUE,FALSE,TRUE,-31.0802347222222,141.697368611111,SW,NSW,2012-09-03,1
NSABHC0009-58026,NSABHC0009,2012-09-03T00:00:00,enclosure fowler ,BHC,RIS,RES,,,"-------------- new visit physicalStatusComments start --------------
No outcrop present. Quartz surface strew present. Introduced plant impact is low, Lepidium sp. present. Current grazing impact is minimal, historically grazed until exclusion fence erected 60-70s??. Site is long unburnt, no evidence of past fire. Nearest infrastructure is the exclusion fence 20 east of NE corner. Site is homogenous, community extends 110m north, 70m east, 50m south and west where a change occurs.
-------------- new visit physicalStatusComments end ---------------
Low to moderate impact of introduced plant species; Sonchus oleraceus low cover.",NC,NC,,58026,2016-09-13T11:11:06,2016-09-13T11:11:06,No soil pit description or samples collected. Soil surface observations only.,Fowler's Gap exclosure,R,1,S,Z,4,0,WET,FFR,1,11,1,,,54,WGS84,,NC,,TRUE,FALSE,TRUE,-31.0802347222222,141.697368611111,SW,NSW,2016-09-13,2
NSABHC0010-53605,NSABHC0010,2012-09-04T00:00:00,rocky wasteland,BHC,RIS,RES,,,"-------------- new visit physicalStatusComments start --------------
Landform element is a plain, pattern is a plain. Gentle slope (1-2 degrees) to NE. Lithology, some exposed phylite. Gravel surface strew mostly of quartz. Grazing impact is high, all the Maireana spp. are grazed and tussock grass chewed down to the base. Feral goats present (large heard seen near plot >40 head). Sheep and kangaroo grazing also occurring. Station destocking sheep. Introduced plant impact is minimal, no introduce plant recorded. Site is homogenous and community extends 200m north, east, south and 60m west. Nearest infrastructure is the fence line 300-400m SW of site. Informal vehicle track to site. Site is long unburnt no evidence of past fire.
-------------- new visit physicalStatusComments end ---------------
High impact of introduced plant species- Salvia verbenaca extremely high cover.",NC,NC,,53605,2012-09-04T00:00:00,2012-09-04T00:00:00,,Atriplex vesicaria / Sclerolaena sp. low sparse Chenopod shrubland.,NC,NC,NC,NC,7,NC,,,22,7,7,566803,6561685,54,WGS84,GPS,P,,TRUE,FALSE,TRUE,-31.0767180555556,141.700309722222,SW,NSW,2012-09-04,1
NSABHC0011-53606,NSABHC0011,2012-09-18T00:00:00,"Fowlers Gap Research Station, 7,3km north west of homestead. 105km north north west of Broken Hill. 9.7km west of Silver City highway.",BHC,PLA,STP,,,"-------------- new visit physicalStatusComments start --------------
Landform element and pattern is plain on a plain. 1-degree slope to the north east. Surface strew comprised of cobble and pebble size is very common across the site. Geology of surface strew is quartzite, quartz and conglomerate, and soil is cracking clay on the surface.
Minimal or no introduced plant impact. Evidence of kangaroos, goats and sheep, with dung observed on the site, with some species e.g. Tripogonella loliiformis grazed back to butts. Other palatable species such as Astrebla sp. have minimal sign of grazing since the last rain. The research station is currently in the process of destocking. Long unburnt with no evidence of past fire. Nearest infrastructure is the paddock fence line and access track approximately south east 30m from the SE corner. Site is homogenous, extending from the centre 150m to the east, 200m to the south, and at least 300m to the north and west.

-------------- new visit physicalStatusComments end ---------------
Minimal impact of introduced plant species.",NC,NC,,53606,2012-09-18T00:00:00,2012-09-18T00:00:00,,Atriplex vesicaria / Sclerolaena sp. low sparse chenopod shrubland.,NC,NC,NC,NC,7,NC,,,22,7,7,564717,6567395,54,WGS84,GPS,P,,TRUE,FALSE,TRUE,-31.0253161111111,141.6780775,SW,NSW,2012-09-18,1
NSABHC0012-53607,NSABHC0012,2012-09-19T00:00:00,done,BHC,ALP,PLA,,,"-------------- new visit physicalStatusComments start --------------
Landform element is plain and the pattern is alluvial plain. No discernable slope. No outcrop or surface strew present. Surface flaking and cracking. Introduced plant impact is minimal. Grazing impact is low, kangaroo and goat present, site historically heavily grazed. No evidence of past fire. Nearest infrastructure is 100m south of a fenceline. Watering point/yard 0.5km to the west. Site is homogenous, the community extends 75m south, west and north, 30m East.
-------------- new visit physicalStatusComments end ---------------
Alluvial plain- outer reaches of Fowlers creek. Plot is flat.  Surface strew minimal- some chippings but likely anthropogenic and some gravels where ants have dug it up. Homogeneity- plot sits in extensive Chenopod shrubland which extends 100m to the north and 300m to the south, east and west. Fence and track is 50m to the north of the site.",NC,NC,,53607,2012-09-19T00:00:00,2012-09-19T00:00:00,,Panicum decompositum / Enneapogon avenaceus sparse low tussock grassland to Atriplex vesicaria low sparse Chenopod  shrubland.,NC,NC,NC,NC,7,NC,,,22,7,7,570693,6561344,54,WGS84,GPS,P,,TRUE,FALSE,TRUE,-31.0795666666667,141.741110277778,SW,NSW,2012-09-19,1
NSABHC0012-58022,NSABHC0012,2012-09-19T00:00:00,done,BHC,ALP,PLA,,,"-------------- new visit physicalStatusComments start --------------
Landform element is plain and the pattern is alluvial plain. No discernable slope. No outcrop or surface strew present. Surface flaking and cracking. Introduced plant impact is minimal. Grazing impact is low, kangaroo and goat present, site historically heavily grazed. No evidence of past fire. Nearest infrastructure is 100m south of a fenceline. Watering point/yard 0.5km to the west. Site is homogenous, the community extends 75m south, west and north, 30m East.
-------------- new visit physicalStatusComments end ---------------
Alluvial plain- outer reaches of Fowlers creek. Plot is flat.  Surface strew minimal- some chippings but likely anthropogenic and some gravels where ants have dug it up. Homogeneity- plot sits in extensive Chenopod shrubland which extends 100m to the north and 300m to the south, east and west. Fence and track is 50m to the north of the site.",NC,NC,,58022,2016-09-15T09:49:34,2016-09-15T09:49:34,No soil pit description or soil samples collected. Soil surface observations only.,Grazing effect is moderate at present- lots of kangaroos as well as lots of goat scats Introduced  plant effect is moderate- Medicago spp. dominate in ground stratum. Long unburnt.,n/a,0,n/a,N,3,1L,WET,FFR,1,11,1,,,54,WGS84,,NC,,TRUE,FALSE,TRUE,-31.0795666666667,141.741110277778,SW,NSW,2016-09-15,2
NSABHC0013-53608,NSABHC0013,2012-09-20T00:00:00,"Bijerkerno Station, 9.5km north north west of homestead. 70km north north east of Broken Hill. 2.8km west of Silver City Highway",BHC,RIS,RES,,,Minimal impact of introduced plant species - high number of species at low cover.,NC,NC,,53608,2012-09-20T00:00:00,2012-09-20T00:00:00,,,NC,NC,NC,NC,7,NC,,,22,7,7,557162,6534343,54,WGS84,GPS,P,,TRUE,FALSE,TRUE,-31.3239188888889,141.600803055556,SW,NSW,2012-09-20,1
NSABHC0014-53609,NSABHC0014,2012-09-21T00:00:00,"Bijerkerno Station, 8.9km north north west of homestead. 71 km north north east of Broken Hill. 2km west of Silver City Highway",BHC,HIL,FOO,,,Minimal impact of introduced plant species - high number of species at low cover.,NC,NC,100 x 100 m.,53609,2012-09-21T00:00:00,2012-09-21T00:00:00,,,NC,NC,NC,NC,7,NC,,,22,7,7,556269,6533546,54,WGS84,GPS,P,,TRUE,FALSE,TRUE,-31.3311533333333,141.5914625,SW,NSW,2012-09-21,1
NSABHC0015-57104,NSABHC0015,2013-02-05T00:00:00,"Mundi Mundi Station, 5.5km north north east of homestead.15.5km north west of Silverton",BHC,PLA,PLA,,,Plot inside fenced exclosure. Minimal impact of introduced plant species.,NA,NC,,57104,2013-02-05T00:00:00,2013-02-05T00:00:00,"Plot in exclosure- not aligned to grid.

change direction of transect w4 to e4
Soil samples lodged at the TERN facility at The University of Adelaide, South Australia
The SW corner coordinates are derived from the soil site sheet. A full grid of coordinates has not been created.Plot aligned to magnetic north , not the grid.","Fire history unknown, grazing effect minimal- exclosure for stock but not rabbits or kangaroos. Introduced plant effect low, Carrichtera annua and Sonchus oleraceus present but cover low.",NC,NC,NC,NC,7,NC,DRY,DRY,22,7,7,,,54,WGS84,GPS,P,,TRUE,TRUE,TRUE,-31.83394,141.05925,SW,NSW,2013-02-05,1
NSABHC0016-57105,NSABHC0016,2013-12-06T00:00:00,"Mundi- Mundi Station, 5.7 km north north east of homestead. 16.2km north west of Silverton.",BHC,PLA,PLA,0,,"Plot adjacent fenced exclosure at site NSABHC0015.  Fire history unknown. Grazed by cattle or sheep. Minimal impact of introduced plant species.
",NA,NC,,57105,2013-12-06T00:00:00,2013-12-06T00:00:00,"Soil samples lodged at the TERN Facility, University of Adelaide,SA.
The SW corner coordinates are derived from the soil site sheet. Plot aligned to magnetic north , not the grid."," Introduced plant species effect low-  Xanthium spinosum, Carthamus lanatus, Schismus barbatus, Citrullus colocynthis and Limonium lobatum present but cover low.",NC,NC,NC,NC,7,NC,DRY,DRY,22,7,7,505820,6477968,54,WGS84,GPS,P,,TRUE,FALSE,TRUE,-31.8340347222222,141.0614425,SW,NSW,2013-12-06,1
NSABHC0017-57106,NSABHC0017,2013-02-07T00:00:00,"Peak Hill Station, 3.5km south west of Umberumberka Reservoir. 5.5km north west of Silverton",BHC,LOW,PLA,2,270,Plot at the base of range of low hills. Gentle slope- 2 degrees- to the west.  Plot is grazed by cattle. Drainage channel runs through at the 70m mark to the north east corner. Substrate is a mix of quartzite gravels and other rocks. Some larger cobbles- mix of granite and sandstone. Plot is not marked. Minimal impact of introduced plant species.,NA,NA,100 x 100m.,57106,2013-02-07T00:00:00,2013-02-07T00:00:00,"Soil samples lodged at the TERN Facility, The University of Adelaide, SA.
The SW corner coordinates are derived from the soil site sheet. Plot aligned to magnetic north, not the grid."," Fire history unknown. Introduced plant effect, low. Citrullus sp. and Schismus present but minimal cover.  Homogeneity- plot sites in a extensive community of sparse chenopod shrubland. 90m from centre of plot is the same community.  150m east to sealed road.  Plot is not marked",NC,NC,NC,NC,7,NC,DRY,DRY,22,7,7,,,,,,P,,TRUE,FALSE,FALSE,-31.8433097222222,141.192628888889,SW,NSW,2013-02-07,1
NSABHC0018-57077,NSABHC0018,2013-03-13T00:00:00,"Kars Station, 3.9km south east of Homestead. 37.8km north west of Menindee, 64.5km south east of Broken Hill.",BHC,ALP,PLA,1,220,Minimal impact of introduced plant species.,UC,UC,,57077,2013-03-13T13:40:00,2013-03-13T14:00:00,"Soil samples lodged at the TERN Facility, University of Adelaide, SA.
The SW corner coordinates are derived from the soil site sheet. A full grid of coordinates has not been created.Plot aligned to magnetic north , not the grid.There are no photopanorama images .",Kars landsystem.Evidence of recent grazing.,NC,NC,NC,NC,7,NC,DRY,DRY,22,7,7,599260,6431467.29,54,WGS84,GPS,P,,TRUE,FALSE,TRUE,-32.249087,142.0537,SW,NSW,2013-03-13,1
